Export actual-value cycles onto USB stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC6 KM0651/03000/GX/01 61031363 38610965 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.11.21 11:36:33 - 24.11.21 09:01:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cycle,Inj.,Plast.,Melt,Switch,Max,SCF,SCF inj.,SCF OP,Max,Max,Max,Max,Barrel,Barrel,Barrel,Barrel,Barrel,Barrel,Barrel,Barrel,Barrel,Switch,Max.,Oil ,Barrel,Barrel,Hopper,M.clos.,Plast.,Locking,CF build,CF diss.,Unlock,MldOpen,Cool.,De-,Pause,HoldPr.,InjUAdv,InjURetr,PC pos3,Switch,Switch,Switch,Switch,Mold,APC ref. ,Visc.,PC pos3,PC pos3,PC pos3,PC pos1,PC pos1,PC pos1,PC pos1,PC pos2,PC pos2,PC pos2,PC pos2,MaxAr.,Area,MaxAr.,Area,MaxAr.,Area,MaxAr.,Area,MaxAr.,Area,MaxAr.,Area,MaxAr.,Area,MaxAr.,Area,MaxAr.,Area,MaxAr.,Area,SCF-Inj,SCF OP,Min.,SCF-Inj,SCF-DP
,,,time C,time C,time C,cushion,MeltPrC,MeltPr,dosing,open.time,drop,CavPr1,CavPr2,CavPr4,CavPr3,Z3,Z4,Z11,Z10,Z9,Z6,Z5,Z2,Z1,Stroke C,SCF-MP,,Z14,Z12,,time C,str C,time C,time C,time C,time C,time C,time C,molding,time C,time C,time C,time C,OS bottom,CavPr1,CavPr2,CavPr3,CavPr4,equivalent,stroke 0°,index,OS top,ORS top,ORS bottom,OS bottom,OS top,ORS top,ORS bottom,OS bottom,OS top,ORS top,ORS bottom,CavPr1,CavPr1,MeltPr,MeltPr,Capac,Capac,InjStr,InjStr,InjSpd,InjSpd,ResCrv 1,ResCrv 1,ResCrv 2,ResCrv 2,ResCrv 3,ResCrv 3,ResCrv 4,ResCrv 4,ResCrv 5,ResCrv 5,MP Start,inj. start.,SCF-MP,end pos,Set C
Date,Time,Cycle,[s],[s],[s],[cm³],[bar],[bar],[g],[s],[bar],[bar],[bar],[bar],[bar],[°C],[°C],[°C],[°C],[°C],[°C],[°C],[°C],[°C],[cm³],[bar],[°C],[°C],[°C],[°C],[s],[cm³],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[s],[mm],[bar],[bar],[bar],[bar],[],[mm],[],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[bar],[bar*s],[bar],[bar*s],[kW],[Wh],[mm],[mm*s],[mm/s],[mm/s*s],[bar],[bar],[bar],[bar],[kN],[kN],[bar],[bar],[bar*],[bar*],[bar],[bar],[bar],[],[bar]
19.11.21,0:00:24,21488,39.7,1.8,18.82,43.5,534,689,3.087,7.99,5.8,124,0,0,0,240,245,230,230,233,254,240,240,240,49.9,182,41,0,0,40,2.37,944.6,0.26,0.37,1.1,0.51,2.07,27,2.88,0.01,1,0,0,-10.6,85,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.2,-6.1,-6.3,-10.6,-10.6,-10.6,-10.6,124,289,689,1196,4273.2,504.2,188.6,2877.5,113.5,178.1,0,0,,,4396,1333,151,40,71,122,141,154,113,1.01,154
19.11.21,0:01:03,21489,39.68,1.8,18.83,43.6,534,691,3.086,7.66,5,125,0,0,0,240,246,229,230,233,254,240,240,240,49.9,183,41,0,0,40,2.36,944.9,0.26,0.38,1.1,0.51,2.07,27,2.89,0.01,1,0,0,-10.6,86,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.2,-6.1,-6.3,-10.6,-10.6,-10.6,-10.6,125,294,691,1195,4195.9,490.5,188.6,2864.7,113.5,178.1,0,0,,,4367,1338,150,40,71,122,140,154,114,0.97,154
19.11.21,0:01:43,21490,39.66,1.8,19.13,43.7,534,690,3.086,7.99,6,125,0,0,0,240,246,230,230,233,254,241,240,240,50,182,40,0,0,40,2.37,945.2,0.26,0.37,1.11,0.51,2.07,27,2.89,0.01,1,0,0,-10.6,86,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.2,-6.1,-6.3,-10.6,-10.6,-10.6,-10.6,125,290,690,1194,4273.3,496.2,188.7,2869.7,116.4,178.5,0,0,,,4380,1329,151,40,71,122,140,154,97,0.99,154
19.11.21,0:02:23,21491,39.64,1.8,19.08,43.6,532,690,3.086,7.67,5.7,122,0,0,0,240,246,229,230,233,254,241,240,240,49.9,187,41,0,0,40,2.37,945.2,0.25,0.39,1.1,0.51,2.07,27,2.9,0.01,1,0,0,-10.6,85,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.2,-6.1,-6.3,-10.6,-10.6,-10.6,-10.6,122,286,690,1193,4273.2,479.8,188.6,2875.5,114.4,178.4,0,0,,,4289,1340,152,43,71,122,140,154,121,0.97,154
19.11.21,0:03:02,21492,39.65,1.8,19.11,43.7,539,694,3.086,7.93,5.6,136,0,0,0,240,246,230,230,233,254,241,240,240,49.9,161,41,0,0,40,2.35,945.7,0.26,0.39,1.1,0.51,2.07,27,2.89,0.01,1,0,0,-10.6,94,0,0,0,,,,-10.7,-10.6,-10.6,-6.3,-6.2,-6.1,-6.3,-10.6,-10.6,-10.6,-10.6,136,323,694,1203,4273.2,507.9,188.8,2877.8,114.7,177.9,0,0,,,4306,1344,152,43,71,123,141,154,112,1,153
19.11.21,0:03:42,21493,39.64,1.8,18.89,43.1,533,689,3.086,8,4.9,124,0,0,0,240,246,229,230,233,254,241,240,240,49.6,184,40,0,0,40,2.36,946.1,0.26,0.37,1.1,0.5,2.06,27,2.88,0.01,1,0,0,-10.6,86,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.2,-6.2,-6.3,-10.6,-10.6,-10.6,-10.6,124,289,689,1197,4273.2,467.6,188.9,2877.1,114.1,178.5,0,0,,,4529,1343,152,40,70,123,141,153,104,1.01,153
19.11.21,0:04:21,21494,39.7,1.8,19.05,43.5,534,690,3.086,7.74,5.7,125,0,0,0,240,246,229,230,233,254,241,240,240,49.6,178,40,0,0,40,2.37,945.5,0.26,0.37,1.1,0.51,2.07,27,2.87,0.01,1,0,0,-10.6,86,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.2,-6.2,-6.3,-10.6,-10.6,-10.6,-10.6,125,295,690,1196,4273.2,496.6,188.8,2877.4,112.4,178.1,0,0,,,4449,1340,152,39,70,123,140,154,111,0.99,153
19.11.21,0:05:01,21495,39.64,1.8,18.81,43.4,532,690,3.087,7.59,4.8,122,0,0,0,240,246,229,230,233,254,241,241,240,49.9,189,41,0,0,40,2.36,945.2,0.26,0.36,1.1,0.51,2.07,27,2.89,0.01,1,0,0,-10.6,84,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.2,-6.2,-6.3,-10.6,-10.5,-10.5,-10.5,122,287,690,1193,4273.3,484,188.6,2874.3,113.5,178.3,0,0,,,4513,1330,152,40,71,122,141,154,121,0.96,153
19.11.21,0:05:41,21496,39.62,1.8,18.89,43.7,539,694,3.086,8.07,5,137,0,0,0,240,246,229,230,233,254,241,240,240,50,162,40,0,0,40,2.36,946,0.26,0.36,1.1,0.51,2.07,27,2.88,0.01,1,0,0,-10.6,94,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.2,-6.2,-6.3,-10.6,-10.6,-10.6,-10.6,137,327,694,1202,4273.2,526.2,188.9,2859.6,113,177.9,0,0,,,4533,1339,152,40,71,123,139,154,112,1.01,153
19.11.21,0:06:21,21497,39.65,1.8,19.22,43.4,534,690,3.086,6.89,5.5,127,0,0,0,240,246,230,230,233,254,241,240,240,49.7,184,40,0,0,40,2.36,945.5,0.26,0.37,1.1,0.5,2.07,27,2.88,0.01,1,0,0,-10.6,87,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.2,-6.2,-6.3,-10.6,-10.6,-10.6,-10.6,127,299,690,1197,4273.2,488.8,188.8,2874.1,113.2,178.2,0,0,,,4424,1349,151,40,70,123,140,154,118,0.88,153
19.11.21,0:07:00,21498,39.63,1.8,19.1,43.3,536,694,3.086,7.48,5.4,126,0,0,0,240,246,230,230,233,254,241,241,240,49.8,182,41,0,0,40,2.36,944.9,0.27,0.37,1.1,0.51,2.07,27,2.89,0.01,1,0,0,-10.6,86,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.2,-6.2,-6.3,-10.6,-10.6,-10.6,-10.6,126,290,694,1198,4273.3,493.5,188.6,2873.9,113.5,178,0,0,,,4362,1339,152,41,71,123,141,153,110,0.96,153
19.11.21,0:07:40,21499,39.64,1.8,18.87,43.3,535,692,3.086,8.26,5.2,125,0,0,0,241,246,230,230,233,254,241,240,240,49.7,189,41,0,0,40,2.36,944.8,0.26,0.39,1.09,0.49,2.06,27,2.88,0.01,1,0,0,-10.6,86,0,0,0,,,,-10.7,-10.6,-10.6,-6.3,-6.2,-6.1,-6.3,-10.6,-10.6,-10.6,-10.6,125,293,692,1199,4273.2,487.5,188.6,2881.5,113.5,178.1,0,0,,,4315,1342,152,43,71,123,140,153,117,1.03,153
19.11.21,0:08:20,21500,39.63,1.8,18.79,43.6,534,692,3.086,8.25,5.7,124,0,0,0,241,246,230,230,233,254,241,240,240,49.6,184,40,0,0,40,2.36,944.7,0.26,0.37,1.1,0.51,2.07,27,2.87,0.01,1,0,0,-10.6,86,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.3,-6.2,-6.3,-10.6,-10.6,-10.6,-10.6,124,285,692,1198,4246.9,500.7,188.6,2877.6,114.1,178.2,0,0,,,4508,1349,152,40,71,123,141,153,109,1.04,153
19.11.21,0:08:59,21501,39.64,1.8,18.67,43.4,534,692,3.086,8.18,5,124,0,0,0,240,246,230,230,233,254,241,240,240,49.7,183,40,0,0,40,2.37,944.8,0.26,0.37,1.1,0.51,2.07,27,2.88,0.01,1,0,0,-10.6,86,0,0,0,,,,-10.6,-10.6,-10.6,-6.3,-6.2,-6.2,-6.3,-10.6,-10.6,-10.6,-10.6,124,288,692,1197,4273.2,493.4,188.5,2875.6,113.5,178,0,0,,,4405,1338,151,40,71,123,140,153,113,1.02,153
